Rank,Building,City,Country,Height (ft),Floors,Built
110,Dongguan TBA Tower,Dongguan,China,948,68,2010
112,Key Tower,Cleveland,USA,947,57,1991
113,One Liberty Place,Philadelphia,USA,945,61,1987
113,Plaza 66 Tower One,Shanghai,China,945,66,2001
114,Chongqing Poly Tower,Chongqing,China,941,58,2010
116,Columbia Center,Seattle,USA,937,76,1985
117,Yingli Tower,Chongqing,China,936,65,2012
118,Millennium Tower,Dubai,UAE,935,60,2006
118,Sulafa Tower,Dubai,UAE,935,75,2010
120,Tomorrow Square,Shanghai,China,934,55,2003
121,D1,Dubai,UAE,932,80,2012
122,Chongqing World Trade Center,Chongqing,China,929,60,2005
123,Cheung Kong Centre,Hong Kong,Hong Kong,928,62,1999
124,40 Wall Street (The Trump Building),New York City,USA,927,70,1930
125,Suzhou RunHua Global Building A,Suzhou,China,925,49,2010
126,We've the Zenith Tower B,Busan,South Korea,924,75,2011
127,Vitri Tower,Panama City,Panama,922,75,2012
128,Bank of America Plaza,Dallas,USA,921,72,1985
129,OUB Centre,Singapore,Singapore,919,66,1986
129,UOB Plaza One,Singapore,Singapore,919,66,1992
129,Republic Plaza,Singapore,Singapore,919,66,1996
129,Marina Pinnacle,Dubai,UAE,919,73,2010
129,Zhengzhou Greenland Plaza,Zhengzhou,China,919,56,2012
134,Seoul International Financial Center,Seoul,South Korea,916,55,2012
135,Citigroup Center,New York City,USA,915,59,1977
136,Hong Kong New World Tower,Shanghai,China,913,61,2002
137,Trust Tower,Abu Dhabi,UAE,912,60,2010
138,Etihad Tower 1,Abu Dhabi,UAE,911,70,2011
139,Trump International Hotel and Tower,Toronto,Canada,908,57,2012
140,Diwang International Commerce Center,Nanning,China,906,54,2006
141,Scotia Plaza,Toronto,Canada,902,68,1988
142,Williams Tower,Houston,USA,901,64,1983
143,Nantong Zhongnan International Plaza,Nantong,China,897,53,2011
144,Wuhan World Trade Tower,Wuhan,China,896,58,1998
144,Lvjing Tower,Shenzhen,China,896,56,2011
144,Shimao International Center,Fuzhou,China,896,56,2012
147,Haeundae I Park Marina Tower 1,Busan,South Korea,895,66,2011
148,United International,Chongqing,China,889,68,2012
149,Renaissance Tower,Dallas,USA,886,56,1974
149,The Cullinan South Tower,Hong Kong,Hong Kong,886,68,2008
149,The Cullinan North Tower,Hong Kong,Hong Kong,886,68,2008
149,China International Center Tower B,Guangzhou,China,886,62,2007
153,Dapeng International Plaza,Guangzhou,China,884,56,2006
154,One Lujiazui,Shanghai,China,883,47,2008
154,JAL Hotel,Dubai,UAE,883,60,2008
154,21st Century Tower,Dubai,UAE,883,55,2003
157,Bitexco Financial Tower,Ho Chi Minh City,Vietnam,882,68,2010
158,Naberezhnaya Tower C,Moscow,Russia,881,61,2007
159,Bank of Guangzhou Tower,Guangzhou,China,878,57,2012
160,Al Faisaliyah Center,Riyadh,Saudi Arabia,876,44,2000
160,8 Spruce Street,New York City,USA,876,76,2010
160,Star Bay Tower,Panama City,Panama,876,65,2012
163,Fortune Center Phase 3,Beijing,China,874,56,2012
164,The Point,Panama City,Panama,873,65,2011
165,The River,Bangkok,Thailand,871,73,2012
165,Bank of America Corporate Center,Charlotte,USA,871,60,1992
167,900 North Michigan,Chicago,USA,869,66,1989
167,Al Kazim Tower 1,Dubai,UAE,869,53,2008
167,Al Kazim Tower 2,Dubai,UAE,869,53,2008
167,Bocom Financial Towers,Shanghai,China,869,52,2002
167,120 Collins Street,Melbourne,Australia,869,52,1991
167,We've the Zenith Tower C,Busan,South Korea,869,70,2011
167,WBC The Palace Towers Tower 1,Busan,South Korea,869,71,2010
167,WBC The Palace Towers Tower 2,Busan,South Korea,869,71,2010
175,SunTrust Plaza,Atlanta,USA,867,60,1992
176,Triumph-Palace,Moscow,Russia,866,54,2005
176,Arts Tower,Panama City,Panama,866,80,2012
178,"Samsung Tower Palace 3, Tower G",Seoul,South Korea,865,73,2004
179,Ubora Tower,Dubai,UAE,862,58,2011
180,Trump World Tower,New York City,USA,859,72,2001
180,Water Tower Place,Chicago,USA,859,74,1976
180,Grand Gateway Shanghai I,Shanghai,China,859,52,2005
180,Grand Gateway Shanghai II,Shanghai,China,859,52,2005
180,Aqua,Chicago,USA,859,86,2009
185,Aon Center,Los Angeles,USA,858,62,1973
186,East Pacific Center Tower B,Shenzhen,China,856,72,2012
186,Sapphire of Istanbul,Istanbul,Turkey,856,54,2010
186,Grand Lisboa,Macau,China,856,47,2008
186,TD Canada Trust Tower,Toronto,Canada,856,53,1990
186,The Masterpiece,Hong Kong,Hong Kong,856,64,2007
186,Central Park Residential Tower,Dubai,UAE,856,51,2011
192,Etihad Tower 3,Abu Dhabi,UAE,854,62,2011
193,Vision Tower,Dubai,UAE,853,60,2010
193,Shanghai IFC North Tower,Shanghai,China,853,60,2011
193,Jing'an Kerry Center Phase 2,Shanghai,China,853,58,2012
193,Sunny World Center,Shenyang,China,853,59,2012
193,Bahrain Financial Harbour 1,Manama,Bahrain,853,53,2007
193,Bahrain Financial Harbour 2,Manama,Bahrain,853,53,2007
193,101 Collins Street,Melbourne,Australia,853,50,1991
193,Abraj Al Bait Hajar Tower,Mecca,Saudi Arabia,853,48,2012
193,Abraj Al Bait ZamZam Tower,Mecca,Saudi Arabia,853,48,2012
193,Shenzhen Special Zone Press Tower,Shenzhen,China,853,48,1998
193,Transamerica Pyramid,San Francisco,USA,853,48,1972
204,Chase Tower,Chicago,USA,850,60,1969
204,GE Building,New York City,USA,850,69,1933
204,Commerzbank Tower,Frankfurt,Germany,850,56,1997
204,PBCOM Tower,Makati,Philippines,850,55,2000
208,Two Liberty Place,Philadelphia,USA,848,58,1990
209,Huamin Imperial Tower,Shanghai,China,847,63,2011
210,Lanko·Grand Hyatt Hotel,Chongqing,China,846,60,2004
210,Tianjin Hutchinson Whampoa Metro Plaza,Tianjin,China,846,53,2012
212,Park Tower,Chicago,USA,844,67,2000
212,Devon Tower,Oklahoma City,USA,844,50,2012
212,Ciputra World Hotel Tower,Jakarta,Indonesia,844,49,2013
215,St. Petersburg Tower,Moscow,Russia,843,65,2010
216,Messeturm,Frankfurt,Germany,842,55,1990
217,U.S. Steel Tower,Pittsburgh,USA,841,64,1970
217,Sorrento 1,Hong Kong,Hong Kong,841,75,2003
219,The Harbour Hotel &amp; Residence,Dubai,UAE,840,59,2007
219,Ubora Tower 1,Dubai,UAE,840,59,2007
219,Hyperion Tower A,Seoul,South Korea,840,69,2003
219,Rinku Gate Tower Building,Izumisano,Japan,840,56,1996
223,New Century Plaza Tower A,Nanjing,China,837,52,2006
223,Langham Place Office Tower,Hong Kong,Hong Kong,837,59,2004
223,Tower Financial Center,Panama City,Panama,837,53,2011
223,Conrad Hotel,Dubai,UAE,837,51,2012
227,The Imperial I,Mumbai,India,833,60,2009
227,The Imperial II,Mumbai,India,833,60,2009
229,Capital Tower,Singapore,Singapore,830,52,2000
229,Chase Tower,Indianapolis,USA,830,48,1990
231,Highcliff,Hong Kong,Hong Kong,828,72,2003
232,Bank of Shanghai Headquarters,Shanghai,China,827,46,2005
232,Osaka World Trade Center Building,Osaka,Japan,827,55,1995
232,Reflection Jomtien Beach Oceanfront Tower A,Chonburi,Thailand,827,58,2013
235,The Harbourside,Hong Kong,Hong Kong,824,73,2003
235,Rialto Towers,Melbourne,Australia,824,63,1986
237,Jiali Plaza,Wuhan,China,823,61,1997
238,The Gramercy Residences,Makati,Philippines,820,73,2012
238,Discovery Primea,Makati,Philippines,820,68,2013
238,The Gate Tower 1,Abu Dhabi,UAE,820,65,2012
238,The Gate Tower 2,Abu Dhabi,UAE,820,65,2012
238,The Gate Tower 3,Abu Dhabi,UAE,820,65,2012
238,Angsana Hotel Tower 1,Dubai,UAE,820,49,2008
238,Angsana Hotel Tower 2,Dubai,UAE,820,49,2008
238,Beijing Yintai Centre Tower 2,Beijing,China,820,63,2007
238,Chelsea Tower,Dubai,UAE,820,49,2005
238,One Atlantic Center,Atlanta,USA,820,50,1987
238,Caja Madrid Tower,Madrid,Spain,820,45,2008
238,Wisma 46,Jakarta,Indonesia,820,48,1996
238,Post &amp; Telecommunication Hub,Guangzhou,China,820,66,2003
238,Ahmed Khoory Tower,Dubai,UAE,820,60,2012
252,63 Building,Seoul,South Korea,819,60,1985
252,The Legacy at Millennium Park,Chicago,USA,819,73,2010
252,International Hainan Airlines Plaza,Haikou,China,819,54,2012
254,Infinity,Brisbane,Australia,817,81,2013
254,Cathay Pacific Plaza 1,Ordos,China,817,55,2012
254,Cathay Pacific Plaza 2,Ordos,China,817,55,2012
254,Al Tayer Tower,Dubai,UAE,817,49,2009
254,Metapolis 101,Hwaseong City,South Korea,817,66,2010
254,Central Park,Perth,Australia,817,52,1992
254,Torre de Cristal,Madrid,Spain,817,45,2008
262,Midtown Tower,Tokyo,Japan,814,54,2007
262,CitySpire Center,New York City,USA,814,75,1987
264,One Chase Manhattan Plaza,New York City,USA,813,60,1960
265,Midland Square,Nagoya,Japan,810,47,2007
265,Metapolis 104,Hwaseong City,South Korea,810,66,2010
265,State Tower,Bangkok,Thailand,810,68,2001
268,Conde Nast Building,New York City,USA,809,48,1999
